author_id,author_name,author_affiliation_name
55916088900,"Kalimuthu Rajoo, Shanmugam Sundram",Universiti Utara Malaysia
6602946347,"Nachum, Lilac",Universiti Utara Malaysia
57191517407,"Al-Shuaibi, Ahmad Said Ibrahim",Universiti Utara Malaysia
56226700100,"Alfa Tahir, Fatima",Universiti Utara Malaysia
56497923100,"Dan Jantan, Mohd",Universiti Utara Malaysia
57192068349,"Maigoshi, Zaharaddeen Salisu",Universiti Utara Malaysia
36598796800,"Malkawi, G.",Universiti Utara Malaysia
35791775500,"Benjamin, Aida Mauziah",Universiti Utara Malaysia
36536436600,"Basri, Shuib",Universiti Utara Malaysia
57205622374,"Baharuddin, Sitti Aminah",Universiti Utara Malaysia
55513256600,"Mohtar, Shahimi",Universiti Utara Malaysia
55644374400,"Ahmad, N.",Universiti Utara Malaysia
56067129200,"Anuar, Herman Shah",Universiti Utara Malaysia
56300136600,"Hanaysha, Jalal R M",Universiti Utara Malaysia
57201470483,"Ismail, Adibah",Universiti Utara Malaysia
41261010700,"Bhuiyan, Md Anowar Hossain",Universiti Utara Malaysia
37005452000,"Ehkan, P.",Universiti Utara Malaysia
56440230900,"Rabab’h, Belal Sadiq",Universiti Utara Malaysia
7404759276,"Wong, Kok Wai",Universiti Utara Malaysia
56946501100,"Salleh, Nurul Azita",Universiti Utara Malaysia
55907349500,"Ku-Mahamud, Ku Ruhana",Universiti Utara Malaysia
36701182000,"Dadriyansyah, Geraldy",Universiti Utara Malaysia
57199802354,"Ibrahim, Mustafa M.H.",Universiti Utara Malaysia
57189639869,"Adzis, Azira Abdul",Universiti Utara Malaysia
57195349566,"Sheikh, Adnan A.",Universiti Utara Malaysia
57190407906,"Zainuddin, Nizamuddin B.",Universiti Utara Malaysia
57195960393,"Hamed, Adel Abdellatif Ahmad",Universiti Utara Malaysia
55807291800,"Abdul Jalil, Ahmad Zafarullah",Universiti Utara Malaysia
57201966848,"Abu Bakar, Abu Sufian",Universiti Utara Malaysia
57190488874,"Mohomme, Eman F.",Universiti Utara Malaysia
56442659500,"Aldiabat, Raja'I",Universiti Utara Malaysia
55985743400,"Bukair, Abdullah Awadh",Universiti Utara Malaysia
55217634100,"Abdul Nifa, Faizatul Akmar",Universiti Utara Malaysia
57202626302,"Abdullah, Nur Adiana Hiau",Universiti Utara Malaysia
14056882400,"Rahman, Rashidah Abdul",Universiti Utara Malaysia
36627983000,"Al-Majali, Malek",Universiti Utara Malaysia
57196039493,"Hamdi, Mohd Maizan Fishol",Universiti Utara Malaysia
55799745900,"Husieen, Naseer Ali",Universiti Utara Malaysia
14037113500,"Baten, M. A.",Universiti Utara Malaysia
56258240600,"Hussain, Tuan Pah Rokiah Syed",Universiti Utara Malaysia
57204626697,"Abidi, Masooma",Universiti Utara Malaysia
57201837627,"Ahmad, Ruzita",Universiti Utara Malaysia
57194792550,"Mehmood, Khawaja Khalid",Universiti Utara Malaysia
36728195700,"Ong, Bi Lynn",Universiti Utara Malaysia
55632135500,"Mansor, Mohd Fitri",Universiti Utara Malaysia
57192061234,"Ismail, Faizah",Universiti Utara Malaysia
56022130400,"Mohammad, Hisham Bin",Universiti Utara Malaysia
56208747000,"Shukur, Ban Salman",Universiti Utara Malaysia
37048373100,"Alias, A.",Universiti Utara Malaysia
57200297426,"Sulehat, Naser Ahmad",Universiti Utara Malaysia
57204888876,"Koisin, Esther A.P.",Universiti Utara Malaysia
35274307800,"Abdusalam, S. F.",Universiti Utara Malaysia
57204074987,"Sule, Babayo",Universiti Utara Malaysia
55932664000,"Mohamed, Shafinah Farvin Packeer",Universiti Utara Malaysia
57191198001,"Tosho, Abdulrauf",Universiti Utara Malaysia
8701576800,"Zamli, Kamal Zuhairi",Universiti Utara Malaysia
36718713000,"Anuar, Abdul Rahim",Universiti Utara Malaysia
56161938800,"Ishak, Mohd Sobhi",Universiti Utara Malaysia
55821851800,"Fararah, Fahmi Shaaban",Universiti Utara Malaysia
